Linux 6.8.0-52-generic (bouealt-virtual-machine) 	03/25/2025 	_x86_64_	(8 CPU)

04:53:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:53:52 PM  all   12.48    0.00    1.39    0.25    0.00    0.13    0.00    0.00    0.00   85.75
04:53:53 PM  all   12.50    0.00    2.53    0.63    0.00    0.38    0.00    0.00    0.00   83.96
04:53:54 PM  all   11.93    0.00    2.16    0.63    0.00    0.13    0.00    0.00    0.00   85.15
04:53:55 PM  all   11.96    0.00    1.40    0.00    0.00    0.25    0.00    0.00    0.00   86.39
04:53:56 PM  all   11.81    0.00    2.95    0.64    0.00    0.64    0.00    0.00    0.00   83.95
04:53:57 PM  all   12.17    0.00    1.90    0.13    0.00    0.25    0.00    0.00    0.00   85.55
04:53:58 PM  all   12.08    0.00    2.21    0.13    0.00    0.26    0.00    0.00    0.00   85.32
04:53:59 PM  all   12.20    0.00    1.91    0.38    0.00    0.64    0.00    0.00    0.00   84.88
04:54:00 PM  all   11.62    0.00    1.79    0.26    0.00    0.26    0.00    0.00    0.00   86.08
04:54:01 PM  all   12.18    0.00    1.40    1.27    0.00    0.38    0.00    0.00    0.00   84.77
平均时间:  all   12.09    0.00    1.96    0.43    0.00    0.33    0.00    0.00    0.00   85.18
