procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0 2360916 319408 374208 718164    4    8    20    28    9   18  1  1 97  1  0
 3  0 2360916 292236 374208 720008    0    0  1640     0 2493 1744 12  2 86  0  0
 1  0 2360916 270908 374220 720196    0    0   188   132 3049 2219 12  3 84  1  0
 1  0 2360916 265700 374220 720200    0    0     0     0 2755 2166 12  2 85  1  0
 5  0 2360916 261716 374220 720204    0    0     0  9612 2715 2061 12  2 86  0  0
 2  0 2360404 266700 374244 720232  216    0   228 48856 3355 2882 12  3 84  1  0
 3  0 2360404 264544 374260 720260    0    0     0     0 2906 2620 12  2 86  0  0
 4  0 2360404 266420 374328 720232    0    0    12   136 3293 2749 12  3 85  0  0
 1  0 2360404 268800 374352 720264    0    0    16   144 3168 2620 12  2 85  0  0
 2  0 2360404 267720 374352 720264   16    0    16     0 2672 2375 12  2 86  0  0
