Linux 6.8.0-52-generic (bouealt-virtual-machine) 	03/25/2025 	_x86_64_	(8 CPU)

04:53:51 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:53:52 PM  1000   1419575   92.00    3.00    0.00    4.00   95.00     3  callgrind-amd64
04:53:53 PM  1000   1419575   91.00    4.00    0.00    1.00   95.00     5  callgrind-amd64
04:53:54 PM  1000   1419575   94.00    5.00    0.00    3.00   99.00     1  callgrind-amd64
04:53:55 PM  1000   1419575   96.00    4.00    0.00    3.00  100.00     5  callgrind-amd64
04:53:56 PM  1000   1419575   94.00    4.00    0.00    2.00   98.00     1  callgrind-amd64
04:53:57 PM  1000   1419575   96.00    4.00    0.00    2.00  100.00     4  callgrind-amd64
04:53:58 PM  1000   1419575   96.00    4.00    0.00    2.00  100.00     1  callgrind-amd64
04:53:59 PM  1000   1419575   97.00    5.00    0.00    2.00  102.00     0  callgrind-amd64
04:54:00 PM  1000   1419575   94.00    6.00    0.00    3.00  100.00     1  callgrind-amd64
04:54:01 PM  1000   1419575   97.00    3.00    0.00    1.00  100.00     7  callgrind-amd64
平均时间:  1000   1419575   94.70    4.20    0.00    2.30   98.90     -  callgrind-amd64
